trait_name,tissue,category,other_tags,nrow,description,TRY name,TRY number,TRY notes,Top_Formal_name,Top_identifier,Top_link,type,units
cell_spongy_mesophyll_P_per_fresh_mass,leaf,nutrient,cellular_scale,16,P content of spongy mesophyll cells,NA,,,NA,NA,NA,numeric,umol/g
cell_thylakoid_N_per_total_N,leaf,nutrient,cellular_scale,NA,NA,NA,,,NA,NA,NA,NA,NA
chlorophyll_A_B_ratio,leaf,nutrient,,18,Ratio of chlorophyll A to chlorophyll B,Leaf chlorophyll a/b ratio,416,,NA,NA,NA,numeric,umol/umol
chlorophyll_A_per_area,leaf,physiological,molecular,NA,NA,Leaf chlorophyll content per leaf area (Chl a),3476,,NA,NA,NA,NA,NA
chlorophyll_A_per_dry_mass,leaf,physiological,molecular,NA,NA,Leaf chlorophyll content per leaf dry mass (Chl a),3474,,NA,NA,NA,NA,NA
chlorophyll_B_per_area,leaf,physiological,molecular,NA,NA,Leaf chlorophyll content per leaf area (Chl b),3477,,NA,NA,NA,NA,NA
chlorophyll_B_per_dry_mass,leaf,physiological,molecular,NA,NA,Leaf chlorophyll content per leaf dry mass (Chl b),3475,,NA,NA,NA,NA,NA
chlorophyll_per_area,leaf,physiological,molecular,NA,NA,Leaf chlorophyll content per leaf area,413,,NA,NA,NA,NA,NA
chlorophyll_per_dry_mass,leaf,physiological,molecular,NA,NA,Leaf chlorophyll content per leaf dry mass,164,,NA,NA,NA,NA,NA
ci,leaf,physiological,,19,internal CO2 concentration under ambient conditions,Leaf photosynthetic A/Ci curve: intercellular CO2 concentration,3366,"similar, not identical",NA,NA,NA,numeric,umol/mol
ci_at_Amax,leaf,physiological,,20,internal CO2 concentration during Amax measurement,Leaf photosynthetic A/Ci curve: intercellular CO2 concentration,3366,"similar, not identical",NA,NA,NA,numeric,umol/mol
ci_at_Asat,leaf,physiological,,21,internal CO2 concentration during Asat measurement,Leaf photosynthetic A/Ci curve: intercellular CO2 concentration,3366,,NA,NA,NA,numeric,umol/mol
ci_over_ca,leaf,physiological,,22,Ratio of internal to external CO2 concentrations,Leaf photosynthesis: intercellular CO2 concentration to ambient CO2 (ci/ca),3379,,NA,NA,NA,numeric,umolCO2/umolCO2
cotyledon_position,leaf,morphological,,NA,NA,NA,,,NA,NA,NA,NA,NA
cotyledon_type,leaf,morphological,,NA,NA,NA,,,NA,NA,NA,NA,NA
dead_wood_Ca_per_dry_mass,stem,nutrient,,NA,NA,"Litter (other than leaf: twigs, bark, flowers…) calcium (Ca) content per litter dry mass",2892,,NA,NA,NA,NA,NA
dead_wood_K_per_dry_mass,stem,nutrient,,NA,NA,"Litter (other than leaf: twigs, bark, flowers...) potassium (K) content per litter dry mass",2891,,NA,NA,NA,NA,NA
dead_wood_Mg_per_dry_mass,stem,nutrient,,NA,NA,"Litter (other than leaf: twigs, bark, flowers...) magnesium (Mg) content per litter dry mass",2893,,NA,NA,NA,NA,NA
dead_wood_N_per_dry_mass,stem,nutrient,,NA,NA,Litter twig nitrogen (N) content per twig dry mass,1199,,NA,NA,NA,NA,NA
dead_wood_Na_per_dry_mass,stem,nutrient,,NA,NA,"Litter (other than leaf: twigs, bark, flowers...) sodium (Na) content per litter dry mass",2898,,NA,NA,NA,NA,NA
dead_wood_P_per_dry_mass,stem,nutrient,,NA,NA,Litter other than leaf phosphorus (P) content per litter dry mass,2890,,NA,NA,NA,NA,NA
diaspore_mass,reproductive,morphological,,23,Mass of seed including dispersal appendages,Dispersal unit dry mass,233,,dispersule mass,TOP102,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Dispersule_mass_trait,numeric,mg
dispersal_appendage,reproductive,morphological,,24,Type of dispersal appendage present,Dispersal unit type,231,,NA,NA,NA,categorical,NA
dispersal_syndrome,reproductive,life history,,25,"Type of dispersal syndrome displayed by species, although the list includes many dispersal appendages and fruit types. Many definitions come from Kew Botanic Gardens website.",Dispersal syndrome,28,,whole plant dispersal syndrome,TOP346,http://top-thesaurus.org/annotationInfo?viz=1&trait=Plant%20dispersal%20syndrome,categorical,NA
dispersers,reproductive,life history,,NA,NA,Dispersal syndrome,28,"similar, not identical",NA,NA,NA,NA,NA
dormancy_type,whole_plant,life history,fire_response,26,Classification for seed dormancy,NA,,,NA,NA,NA,categorical,NA
embryo_colour,reproductive,morphological,,NA,NA,NA,,,NA,NA,NA,NA,NA
epidermal_cell_density_abaxial,leaf,morphological,cellular_scale,NA,NA,NA,,,NA,NA,NA,NA,NA
epidermal_cell_density_adaxial,leaf,morphological,cellular_scale,NA,NA,NA,,,NA,NA,NA,NA,NA
epidermal_cell_density_both_sides,leaf,morphological,cellular_scale,NA,NA,NA,,,NA,NA,NA,NA,NA
epidermis_thickness,leaf,morphological,cellular_scale,NA,NA,Leaf epidermis thickness,101,,NA,NA,NA,NA,NA
epidermis_thickness_lower_leaf_surface,leaf,morphological,cellular_scale,NA,NA,Leaf epidermis thickness,101,,NA,NA,NA,NA,NA
epidermis_thickness_upper_leaf_surface,leaf,morphological,cellular_scale,NA,NA,Leaf epidermis thickness,101,,NA,NA,NA,NA,NA
fire_cued_seeding,reproductive,life history,fire_response,31,Distinguishes between plants that do and do not have fire-cued seeding,NA,,,NA,NA,NA,categorical,NA
fire_response,whole_plant,life history,fire_response,29,Distinguishes between plants that are killed by fire and resprout following fire,Species tolerance to fire; Plant resprouting capacity,318; 819,,NA,NA,NA,categorical,NA
fire_response_detailed,whole_plant,life history,fire_response,30,Detailed information distinguishing between plants that are killed by fire and resprout following fire,Species tolerance to fire; Plant resprouting capacity,318; 819,,NA,NA,NA,categorical,NA
flower_colour,reproductive,morphological,,32,"Flower colour, with six possible outcomes",Flower color,207,,flower color,TOP242,http://top-thesaurus.org/annotationInfo?viz=1&trait=Flower%20color,categorical,NA
flower_count_maximum,reproductive,biomass_allocation,,33,Maximum flower number produced,Flower number per plant,2999,,NA,NA,NA,numeric,count
flower_N_per_dry_mass,reproductive,nutrient,,NA,NA,NA,,,NA,NA,NA,NA,NA
flowering_time,reproductive,life history,,34,Months during which species is flowering; keyed as a sequences of 12 0s (not flowering) and 1s (flowering) starting with January,NA,,,NA,NA,NA,character,NA
fluorescence_Jmax_over_Vcmax,leaf,physiological,,NA,NA,NA,,,NA,NA,NA,NA,NA
fluorescence_Jmax_per_mass,leaf,physiological,,NA,NA,NA,,,NA,NA,NA,NA,NA
fluorescence_Vcmax_per_mass,leaf,physiological,,NA,NA,Leaf photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model),185,,NA,NA,NA,NA,NA
fruit_breadth,reproductive,morphological,,38,The shorter width dimension of a fruit; orthogonal to the length,NA,,,NA,NA,NA,numeric,mm
fruit_Ca_per_dry_mass,reproductive,nutrient,,NA,NA,NA,,,NA,NA,NA,NA,NA
fruit_K_per_dry_mass,reproductive,nutrient,,NA,NA,NA,,,NA,NA,NA,NA,NA
fruit_length,reproductive,morphological,,37,Longest fruit dimension or if clearly recognizable the length from its base to its apex,Fruit length,918,,fruit length,TOP92,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_length,numeric,mm
fruit_mass,reproductive,morphological,,35,"The weight of a fruit, including the seed",Fruit mass,919,,fruit mass,TOP104,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_mass,numeric,mg
fruit_Mg_per_dry_mass,reproductive,nutrient,,NA,NA,NA,,,NA,NA,NA,NA,NA
fruit_N_per_dry_mass,reproductive,nutrient,,NA,NA,NA,,,NA,NA,NA,NA,NA
fruit_P_per_dry_mass,reproductive,nutrient,,NA,NA,NA,,,NA,NA,NA,NA,NA
fruit_S_per_dry_mass,reproductive,nutrient,,NA,NA,NA,,,NA,NA,NA,NA,NA
fruit_type,reproductive,morphological,,39,Fruit types,Fruit type,99,,NA,NA,NA,categorical,NA
fruit_type_botanical,reproductive,morphological,,NA,NA,NA,,,NA,NA,NA,NA,NA
fruit_type_functional,reproductive,morphological,,NA,NA,NA,,,NA,NA,NA,NA,NA
fruit_wall_width,reproductive,morphological,,NA,NA,NA,,,NA,NA,NA,NA,NA
fruit_width,reproductive,morphological,,36,The longest width dimension of a fruit; orthogonal to the length,Fruit diameter,917,,fruit width,TOP96,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_width,numeric,mm
fruiting_time,reproductive,life history,,42,Months during which species is fruiting; keyed as a sequences of 12 0s (not flowering) and 1s (flowering) starting with January,NA,,,NA,NA,NA,character,NA
fv_over_fm,leaf,physiological,,43,Chlorophyll fluorescence measurement that indicates whether plant stress affects photosystem II in a dark adapted state,Leaf photosynthesis: quantum efficiency of photosystem II (maximum potential; FvFm),3393,,NA,NA,NA,numeric,x/x
genome_size,whole_plant,life history,,46,Mass of the plant's genome,Species genotype: genome size,1022,,NA,NA,NA,numeric,pg
germination,reproductive,life history,,44,Proportion of seeds that germinate,Seed germination rate (germination efficiency),95,,NA,NA,NA,numeric,n/n
germination_treatment,reproductive,morphological,,45,Seed treatment required for germination,Seed germination stimulation,34,,NA,NA,NA,categorical,NA
glaucous,leaf,morphological,,47,Variable indicating if a plant's leaves are glaucous or not,NA,,,NA,NA,NA,categorical,NA
growth_habit,whole_plant,life history,,48,Variable that defines a combination of growth habit and plant vegetative reproductive potential,NA,,,NA,NA,NA,categorical,NA
huber_value,stem,biomass_allocation,,49,Sapwood area to leaf area ratio,Stem sapwood cross-sectional area per supported leaf surface area (Huber value),171,,NA,NA,NA,numeric,mm2/mm2
hypocotyl_type,leaf,morphological,,NA,NA,NA,,,NA,NA,NA,NA,NA
insoluable_protein_per_area,leaf,nutrient,,187,Mass of insoluble protein per leaf area,NA,,,NA,NA,NA,numeric,g/m2
Jmax_per_area,leaf,physiological,,NA,NA,Leaf photosynthesis electron transport capacity (Jmax) per leaf area (Farquhar model),269,,NA,NA,NA,NA,NA
leaf_absorption,leaf,physiological,,NA,NA,Leaf light absorption (extinction),10,,NA,NA,NA,NA,NA
leaf_Al_per_dry_mass,leaf,nutrient,,50,Leaf aluminum (Al) content per unit leaf dry mass,Leaf aluminium (Al) content per leaf dry mass,249,,NA,NA,NA,numeric,mg/kg
leaf_angle,leaf,morphological,,51,"Leaf angle, relative to horizontal","Leaf angle (inclination, orientation)",3,,NA,NA,NA,numeric,n
leaf_area,leaf,morphological,,52,Area of the leaf surface,"Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)",3112,,leaf area,TOP25,http://top-thesaurus.org/annotationInfo?viz=1&trait=Leaf%20area,numeric,mm2
leaf_area_ratio,leaf,biomass_allocation,,54,Ratio of leaf area to total plant dry mass,Leaf area per plant dry mass (leaf area ratio; LAR),109,,whole plant leaf area per whole plant dry mass,TOP88,http://top-thesaurus.org/annotationInfo?viz=1&trait=Leaf%20area%20ratio,numeric,mm2/mg
leaf_arrangement,leaf,morphological,,55,Describes leaf arrangement on the stem,Leaf distribution along the shoot axis (arrangement type),16,,NA,NA,NA,categorical,NA
leaf_B_per_dry_mass,leaf,nutrient,,56,Leaf boron (B) content per unit leaf dry mass,Leaf boron (B) content per leaf dry mass,250,,leaf boron content per leaf dry mass,TOP450,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_boron_content_per_leaf_dry_mass,numeric,mg/kg
leaf_C_per_dry_mass,leaf,nutrient,,57,Leaf carbon (C) content per unit leaf dry mass,Leaf carbon (C) content per leaf dry mass,13,,leaf carbon content per leaf dry mass,TOP452,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_carbon_content_per_leaf_dry_mass,numeric,mg/g
leaf_Ca_per_dry_mass,leaf,nutrient,,58,Leaf calcium (Ca) content per unit leaf dry mass,Leaf calcium (Ca) content per leaf dry mass,252,,leaf calcium content per leaf dry mass,TOP451,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_calcium_content_per_leaf_dry_mass,numeric,mg/g
leaf_cell_wall_fraction,leaf,morphological,cellular_scale,59,Fraction of total leaf biomass that is cell wall material,Leaf cell wall mass per leaf dry mass,3375,,NA,NA,NA,numeric,dimensionless
leaf_cell_wall_N,leaf,nutrient,cellular_scale,60,Proportion of leaf cell wall material that is nitrogen,NA,,,NA,NA,NA,numeric,mmol/g
leaf_cell_wall_N_fraction,leaf,nutrient,cellular_scale,61,Proportion of all N in leaves that is found in the leaf cell walls,Leaf cell wall nitrogen (N) content per cell wall dry mass,3376,,NA,NA,NA,numeric,dimensionless
leaf_Cl_per_dry_mass,leaf,nutrient,,NA,NA,Leaf chlorine (Cl) content per leaf dry mass,539,,NA,NA,NA,NA,NA
leaf_CN_ratio,leaf,nutrient,,63,Leaf carbon/nitrogen (C/N) ratio,Leaf carbon/nitrogen (C/N) ratio,146,,NA,NA,NA,numeric,g/g
leaf_compoundness,leaf,morphological,,64,Indicates whether or not a leaf is compound; different 'simple' terminology used by different studies,Leaf compoundness,17,,leaf compoundness,TOP222,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_compoundness,categorical,NA
leaf_Cu_per_dry_mass,leaf,nutrient,,65,Leaf copper (Cu) content per unit leaf dry mass,Leaf copper (Cu) content per leaf dry mass,255,,leaf copper content per leaf dry mass,TOP455,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_copper_content_per_leaf_dry_mass,numeric,mg/kg
leaf_dark_respiration_per_area,leaf,physiological,,66,Leaf respiration rate per unit leaf area,Leaf respiration rate in the dark per leaf area,54,,leaf dark respiration rate per leaf area,TOP361,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dark_respiration_rate_per_leaf_area,numeric,umolCO2/m2/s
leaf_dark_respiration_per_dry_mass,leaf,physiological,,67,Leaf respiration rate per unit leaf dry mass,Leaf respiration rate in the dark per leaf dry mass,41,,Leaf dark respiration rate per leaf dry mass,TOP362,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dark_respiration_rate_per_leaf_dry_mass,numeric,umolCO2/g/s
leaf_dark_transpiration_per_area,leaf,physiological,,NA,NA,NA,,,NA,NA,NA,NA,NA
leaf_delta13C,leaf,physiological,isotope,69,Leaf carbon stable isotope signature,Leaf carbon (C) isotope signature (delta 13C),89,,NA,NA,NA,numeric,per mille
leaf_delta15N,leaf,physiological,isotope,70,Leaf nitrogen stable isotope signature,Leaf nitrogen (N) isotope signature (delta 15N),78,,NA,NA,NA,numeric,per mille
leaf_delta18O,leaf,physiological,isotope,NA,NA,Leaf oxygen (O) isotope signature (delta 18O),3358,,NA,NA,NA,NA,NA
leaf_density,leaf,biomass_allocation,,71,Leaf tissue density,"Leaf density (leaf tissue density, leaf dry mass per leaf volume)",48,,leaf dry mass per leaf volume,TOP56,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_density,numeric,mg/mm3
leaf_division,leaf,morphological,,NA,NA,NA,,,NA,NA,NA,NA,NA
leaf_dry_mass,leaf,morphological,,72,Leaf dry mass,Leaf dry mass (single leaf),55,,leaf dry mass,TOP40,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dry_mass,numeric,mg
leaf_dry_matter_content,leaf,biomass_allocation,,73,"Leaf dry mass per unit leaf fresh mass. (See also leaf_water_content_per_mass, the ratio of water content to leaf dry mass, recorded by some studies.)","Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",47,,leaf dry mass per leaf fresh mass,TOP45,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dry_matter_content,numeric,g/g
leaf_Fe_per_dry_mass,leaf,nutrient,,75,Leaf iron (Fe) content per unit leaf dry mass,Leaf iron (Fe) content per leaf dry mass,256,,leaf iron content per leaf dry mass,TOP456,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_iron_content_per_leaf_dry_mass,numeric,mg/kg
leaf_fresh_mass,leaf,biomass_allocation,,77,Leaf fresh mass,Leaf fresh mass,163,,leaf fresh mass,TOP35,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_fresh_mass,numeric,mg
leaf_fresh_mass_per_area,leaf,biomass_allocation,,78,Leaf fresh mass per leaf area,Leaf area per leaf fresh mass (specific leaf area (SLA or 1/LMA) based on leaf fresh mass),125,inverse,NA,NA,NA,numeric,g/m2
leaf_hairs_adult,leaf,morphological,,79,Binary variable describing whether or not adult leaves have hairs,"Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)",677,,NA,NA,NA,categorical,NA
leaf_hairs_juvenile,leaf,morphological,,80,Binary variable describing whether or not juvenile leaves have hairs,"Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)",677,"similar, not identical",NA,NA,NA,categorical,NA
leaf_hydraulic_conductivity,leaf,physiological,,NA,NA,Leaf hydraulic conductance,748,,NA,NA,NA,NA,NA
leaf_hydraulic_vulnerability,leaf,physiological,,82,The leaf water potential value at which leaf hydraulic conductance have declined by 50% from the mean maximum rate,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P8",719,,NA,NA,NA,numeric,neg_MPa
leaf_K_per_area,leaf,nutrient,,83,Leaf potassium (K) content per unit leaf area,Leaf potassium (K) content per leaf area,52,,leaf potassium content per leaf area,TOP483,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_potassium_content_per_leaf_area,numeric,g/m2
leaf_K_per_dry_mass,leaf,nutrient,,84,Leaf potassium (K) content per unit leaf dry mass,Leaf potassium (K) content per leaf dry mass,44,,leaf potassium content per leaf dry mass,TOP464,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_potassium_content_per_leaf_dry_mass,numeric,mg/g
leaf_length,leaf,morphological,,85,"Length of the leaf, including petiole and rachis in compound leaves",Leaf length,144,,leaf length,TOP13,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_length,numeric,mm
leaf_lifespan,leaf,life history,,86,Leaf lifespan (longevity),Leaf lifespan (longevity),12,,leaf life span,TOP254,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_life_span,numeric,month
leaf_light_respiration_per_area,leaf,physiological,,68,Leaf respiration rate per unit leaf area under light,Leaf respiration rate in light per leaf area,512,,NA,NA,NA,numeric,umolCO2/m2/s
leaf_lignin_per_dry_mass,leaf,nutrient,,87,Leaf lignin per unit leaf dry mass,Leaf lignin content per leaf dry mass,87,,leaf lignin content per leaf dry mass,TOP844,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_lignin_content_per_leaf_dry_mass,numeric,mg/mg
leaf_margin,leaf,morphological,,88,Description of leaf margin are lobed versus entire. Trait values could be expanded to include toothed as a separate category,Leaf margin type,963,,NA,NA,NA,categorical,NA
leaf_mass_fraction,leaf,biomass_allocation,,89,Ratio of leaf dry mass to total plant dry mass,"Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",110,,whole plant leaf dry mass per whole plant dry mass,TOP85,http://top-thesaurus.org/annotationInfo?viz=1&trait=Leaf%20mass%20ratio,numeric,g/g
leaf_mass_to_stem_mass,leaf,biomass_allocation,,NA,NA,NA,,,NA,NA,NA,NA,NA
leaf_mesophyll_conductance_per_area,leaf,physiological,,NA,NA,Leaf mesophyll conductance,964,,NA,NA,NA,NA,NA
leaf_mesophyll_conductance_per_mass,leaf,physiological,,NA,NA,Leaf mesophyll conductance,964,,NA,NA,NA,NA,NA
leaf_Mg_per_dry_mass,leaf,nutrient,,90,Leaf magnesium (Mg) content per unit leaf dry mass,Leaf magnesium (Mg) content per leaf dry mass,257,,leaf magnesium content per leaf dry mass,TOP457,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_magnesium_content_per_leaf_dry_mass,numeric,mg/g
leaf_Mn_per_dry_mass,leaf,nutrient,,91,Leaf manganese (Mn) content per unit leaf dry mass,Leaf manganese (Mn) content per leaf dry mass,258,,leaf manganese content per leaf dry mass,TOP458,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_manganese_content_per_leaf_dry_mass,numeric,mg/kg
leaf_Mo_per_dry_mass,leaf,nutrient,,92,Leaf molybdenum (Mo) content per unit leaf dry mass,Leaf molybdenum (Mo) content per leaf dry mass,259,,leaf molybdenum content per leaf dry mass,TOP459,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_molybdenum_content_per_leaf_dry_mass,numeric,mg/kg
leaf_N_per_area,leaf,nutrient,,93,Leaf nitrogen (N) content per unit leaf area,Leaf nitrogen (N) content per leaf area,50,,leaf nitrogen content per leaf area,TOP481,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nitrogen_content_per_leaf_area,numeric,g/m2
leaf_N_per_dry_mass,leaf,nutrient,,94,Leaf nitrogen (N) content per unit leaf dry mass,Leaf nitrogen (N) content per leaf dry mass,14,,leaf nitrogen content per leaf dry mass,TOP462,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nitrogen_content_per_leaf_dry_mass,numeric,mg/g
leaf_Na_per_dry_mass,leaf,nutrient,,95,Leaf sodium (Na) content per unit leaf dry mass,Leaf sodium (Na) content per leaf dry mass,260,,leaf sodium content per leaf dry mass,TOP460,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_sodium_content_per_leaf_dry_mass,numeric,mg/kg
leaf_Ni_per_dry_mass,leaf,nutrient,,96,Leaf nickel (Ni) content per unit leaf dry mass,Leaf nickel (Ni) content per leaf dry mass,261,,leaf nickel content per leaf dry mass,TOP461,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nickel_content_per_leaf_dry_mass,numeric,mg/kg
leaf_P_per_area,leaf,nutrient,,97,Leaf phosphorus (P) content per unit leaf area,Leaf phosphorus (P) content per leaf area,51,,leaf phosphorus content per leaf area,TOP482,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_phosphorus_content_per_leaf_area,numeric,g/m2
leaf_P_per_dry_mass,leaf,nutrient,,98,Leaf phosphorus (P) content per unit leaf dry mass,Leaf phosphorus (P) content per leaf dry mass,15,,leaf phosphorus content per leaf dry mass,TOP463,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_phosphorus_content_per_leaf_dry_mass,numeric,mg/g
leaf_phenology,leaf,life history,,99,Variable indicating whether a plant has deciduous versus evergreen leaves; different types of deciduousness included as trait values,Leaf phenology type,37,,NA,NA,NA,categorical,NA
leaf_photosynthetic_nitrogen_use_efficiency_maximum,leaf,physiological,,102,Ratio of photosynthesis (CO2 assimilation rate) to leaf nitrogen content at saturating light conditions but ambient CO2 conditions,"Leaf photosynthesis rate per leaf nitrogen (N) content (photosynthetic nitrogen use efficiency, PNUE",135,,NA,NA,NA,numeric,umolCO2/molN/s
