Species,date_gas_exchange,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),CiCa,Trmmol (mmol m-2 s-1),VpdL (kPa),Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi,date_isotope_analysis,leaf_percentN,leaf_d15N,leaf_CN,leaf_percentC,leaf_d13C,stem_percentN,stem_d15N,stem_CN,stem_percentC,stem_d13C,root_percentN,root_d15N,root_CN,root_percentC,root_d13C,StemFW (g),InitialLeafLA (cm-2),NewLeafLA (cm-2),TotalLA (cm-2),InitialLeafFW (g),NewLeafFW (g),TotalLeafFW (g),StemDW (g),InitialLeafDW (g),NewLeafDW (g),TotalLeafDW (g),LMA (g m-2),leaf_area_ratio,Rep,GrowthPeriod,LaminaT (um),abaxialEpiT (um),adaxialEpiT (um),percentMucilage (%),percentMesophyll (%),percentVascular (%),abaxialEpiDen (mm-2),abaxialStomDen (mm-2),abaxialSI (%),adaxialEpiDen (mm-2),adaxialStomDen (mm-2),adaxialSI (%),PAR_round,PAR_desc,context
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T3,376.32,21.89,26.03,29.43,46.66,3.54,1046.05,72.37,6.47,1157.89,0,0,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T3,436.23,25.57,42.6,35.26,41.81,5.1,1401.32,131.58,8.58,828.95,6.58,0.79,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T3,364.41,25.25,27.58,27.47,41.8,4.52,1000,78.95,7.32,861.84,13.16,1.5,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T3,428.74,33.04,35.86,25.05,51.43,3.29,1065.79,92.11,7.95,822.37,6.58,0.79,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T3,374.63,25,33.34,19.08,52.68,2.55,1052.63,111.84,9.6,1026.32,0,0,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T1,390.83,26.55,33.62,13.52,55.03,3.87,1243.42,151.32,10.85,927.63,0,0,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T1,437.45,28.19,30.57,18.84,53.57,3.07,1282.89,164.47,11.36,901.32,13.16,1.44,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T1,430.78,22.76,30.36,21.69,59.34,5.98,1217.11,111.84,8.42,1138.16,0,0,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T1,450.12,29.59,23.23,26.61,46.97,9.7,1322.37,171.05,11.45,1296.05,13.16,1.01,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T1,428.93,31.57,25.91,19.81,51.23,3.23,1138.16,125,9.9,1375,32.89,2.34,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T2,499.08,35,28.7,27.12,45.56,4.31,1085.53,125,10.33,717.11,0,0,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T2,453.19,20.06,35.82,26.49,43.64,4.75,815.79,72.37,8.15,907.89,13.16,1.43,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T2,538.78,26.79,30.48,23.33,54.54,4.91,1065.79,118.42,10,901.32,6.58,0.72,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T2,334.27,25.91,27.72,23.35,48.62,3.47,796.05,78.95,9.02,894.74,19.74,2.16,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T2,553.52,26.79,32.14,24.03,53.78,3.34,776.32,72.37,8.53,842.11,0,0,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T3,478.92,26.03,54.05,26.91,48.07,2.6,1118.42,111.84,9.09,1039.47,19.74,1.86,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T3,315.12,25.4,38.56,17.85,53.51,4.6,842.11,98.68,10.49,894.74,0,0,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T3,356.72,29.68,25.95,22.38,51.22,3.81,763.16,59.21,7.2,980.26,13.16,1.32,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T3,355.02,24.52,30.68,23.4,47.25,4.67,723.68,72.37,9.09,927.63,13.16,1.4,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T3,355.27,37.9,44.19,16.7,53,5.79,1019.74,72.37,6.63,960.53,19.74,2.01,NA,,Elv_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T1,462.96,18.06,26.44,18.82,56.9,3.34,1434.21,118.42,7.63,1125,13.16,1.16,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T1,447.22,27.97,28.7,21.24,51.47,4.35,1138.16,125,9.9,1078.95,6.58,0.61,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T1,463.89,29.48,36.88,22.55,51.64,4.34,1230.26,105.26,7.88,868.42,19.74,2.22,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T1,501,28.38,29.95,21.93,52.27,3.1,1315.79,125,8.68,1394.74,32.89,2.3,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T1,381.78,30.99,43.75,20.89,51.32,4.06,1342.11,111.84,7.69,1381.58,32.89,2.33,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T2,500.22,25.25,35.38,26.19,48.85,6.03,921.05,98.68,9.68,631.58,0,0,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T2,452.58,30.32,38.4,23.71,51.11,7.04,986.84,118.42,10.71,848.68,0,0,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T2,500.13,22.48,36.61,28.36,48.96,6.85,1184.21,118.42,9.09,822.37,0,0,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T2,467.39,16.99,32.75,26.94,44.07,3.67,1177.63,111.84,8.67,868.42,0,0,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T2,454.82,29.07,28.92,22.17,52.92,5.13,1019.74,78.95,7.19,960.53,6.58,0.68,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T3,342.5,26.03,27.81,16.61,52.57,4.84,1519.74,131.58,7.97,921.05,0,0,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T3,337.07,26.79,29.68,18.38,41.18,6.22,907.89,105.26,10.39,1013.16,32.89,3.14,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T3,428.83,27.74,35.11,17.2,57.45,5.24,953.95,98.68,9.38,1026.32,32.89,3.11,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T3,396.02,31.87,45.75,15.47,56.27,3.45,1440.79,144.74,9.13,875,0,0,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T3,439.3,26.8,30.12,24.4,52.75,7.68,1098.68,131.58,10.7,756.58,0,0,NA,,Elv_Temp_and_640_ppm_CO2_at_growth_period_T3
